latitude,longitude,year,
-27.498,-54.104,1997,
-28.3804,-53.9341,2010,
-28.3803,-53.9342,2010,
-28.6538,-53.6375,2019,
-28.6364,-53.611,2019,
-28.6364,-53.611,2019,
-29.8002,-55.8117,2019,
-27.8782,-54.4704,2019,
-27.2639,-53.8532,2020,
-30.0568,-51.1852,2021,
-28.1863,-55.267,2021,
-28.1806,-55.2644,2021,
-28.1872,-55.2688,2021,
-29.5896,-51.9349,2021,
-29.5938,-51.9369,2021,
-29.7243,-52.4255,2021,
-29.704,-52.4399,2021,
-29.7273,-52.4319,2021,
-29.7335,-52.4264,2021,
-29.7335,-52.4264,2021,
-29.7138,-52.4474,2021,
-29.7004,-52.398,2021,
-29.6721,-52.4073,2021,
-29.7401,-51.0981,2021,
-29.7283,-52.4393,2021,
-29.7223,-52.448,2021,
-30.019386,-51.179478,2021,
-29.892234,-50.262032,2020,
-28.650535,-53.593699,2020,
-29.45,-55.13,2013,
-29.55,-52.2,2013,
-30,-51.06,2013,
-30.17,-51.44,2013,
-29.8,-56.74,2013,
-29.62,-51,2013,
-29.74,-51.14,2013,
-29.19,-51.38,2013,
-31.56,-52.31,2013,
-29.11,-51.54,2013,
-29.92,-51.1,2013,
-29.71,-51.51,2013,
-32.21,-52.38,2013,
-28.25,-55.54,2013,
-28.25,-54.32,2013,
-29.73,-51.06,2013,
-29.89,-50.96,2013,
-30.8,-55.63,2013,
-29.1,-54.75,2013,
-29.92,-51.18,2013,
-28.46,-52.81,2013,
-28.37,-51.92,2013,
-28.53,-54.01,2013,
-30.21,-50.87,2013,
-28.27,-52.45,2013,
-28.21,-52.06,2013,
-28.37,-50.93,2013,
-29.05,-55.76,2013,
-29.46,-50.16,2013,
-30.03,-50.23,2013,
-30.34,-54.37,2013,
-28.65,-54.99,2013,
-28.46,-55.46,2013,
-28.28,-52.87,2013,
-28.21,-53.73,2013,
-29.08,-51.04,2013,
-27.91,-54.19,2013,
-27.93,-54.72,2013,
-30.37,-51.32,2013,
-28.39,-54.87,2013,
-28.3,-53.92,2013,
-28.89,-52.53,2013,
-28.2,-51.51,2013,
-28.41,-54.07,2013,
-28.03,-54.53,2013,
-27.98,-53.89,2013,
-27.94,-55.16,2013,
-28.08,-55.24,2013,
-28.58,-54.25,2013,
-30.1,-51.16,2013,
-27.9,-53.73,2013,
-27.98,-54.97,2013,
-28.18,-54.59,2013,
-28.25,-54.66,2013,
-28.49,-52.29,2013,
-28.71,-55.81,2013,
-28.02,-54.66,2013,
-28.1,-54.83,2013,
-27.94,-53.36,2013,
-27.85,-52.17,2013,
-28.19,-55.25,2013,
-27.54,-54.53,2013,
-27.59,-53.99,2013,
-28.72,-53.52,2013,
-27.99,-54.29,2013,
-27.96,-54.83,2013,
-28.18,-54.04,2013,
-27.85,-54.95,2013,
-28.01,-52.33,2013,
-27.72,-54.27,2013,
-27.59,-54.3,2013,
-27.65,-54.78,2013,
-28.49,-54.28,2013,
-27.64,-53.96,2013,
-27.53,-52.9,2013,
-28.09,-53.13,2013,
-27.84,-54.52,2013,
-27.92,-54.03,2013,
-27.69,-54.56,2013,
-28.14,-54.72,2013,
-28.06,-52.02,2013,
-27.78,-52.55,2013,
-27.63,-54.43,2013,
-27.5,-53.38,2013,
-27.85,-52.47,2013,
-27.68,-54.1,2013,
-28.16,-54.47,2013,
-27.81,-53.65,2013,
-27.69,-53.01,2013,
-27.49,-54.35,2013,
-27.63,-52.25,2013,
-28.06,-55.13,2013,
-27.76,-54.91,2013,
-27.46,-51.91,2013,
-27.25,-53.47,2013,
-27.58,-54.66,2013,
-27.79,-54.71,2013,
-27.72,-53.95,2013,
-27.32,-53.37,2013,
-27.48,-54.13,2013,
-27.81,-54.06,2013,
-27.43,-53.93,2013,
-27.74,-54.13,2013,
-27.26,-53.24,2013,
-27.36,-53.77,2013,
-27.17,-53.4,2013,
-27.36,-52.59,2013,
-27.2,-53.06,2013,
-27.87,-54.45,2004,
-28.39,-53.91,2004,
-30.04,-51.22,2003,
-30.03,-51.23,2002,
-30.03,-51.2,2002,

